Keyword,Score
matur,2.4998748735764837
miliar,2.498509814614062
soul,2.4933287983720613
luang,2.486814032702322
siap,2.4860080448453
gadis,2.4834824215147786
adu,2.479864269517157
hancur,2.477817675041436
kotor,2.477734227453556
cepat,2.4763995020930785
jepit,2.4715368730872296
injeksi,2.4715368730872296
puyeng,2.466766396201566
haram,2.462661731904216
urus,2.4607543227474986
pepatah,2.459316465129765
berkat,2.453772870647046
besok,2.4518763184857875
raup,2.447853013611703
sumatra,2.444484073418691
tenggat,2.444439997217219
tervalidasi,2.444439997217219
lengkap,2.4439292914910955
tanya,2.443500476361769
akan,2.442768414251487
telegram,2.441159834766346
sentani,2.4348114661512223
kawin,2.430312485542808
duh,2.428386808730023
sesal,2.4271693471224483
konflik,2.4263121489315314
panah,2.4263121489315314
berita,2.4243804985148816
kompensasi,2.422910965299033
nm,2.4209041465355026
landas,2.4188184967889828
tragedi,2.4175131055468744
kias,2.4175131055468744
oktober,2.4139812063024095
juta,2.411838731524769
bidang,2.4116396851836774
pelit,2.4107111400749344
pidana,2.4101665404320967
bunuh,2.4094172720385236
tabung,2.405534322912205
inti,2.4022478718711544
mual,2.401734173075933
pasti,2.391101910333731
sendiri,2.389683545060494
dei,2.3883498360225968
kkn,2.3860761426257096
pestisida,2.3771485443653297
refraksi,2.3764478407788974
lembar,2.372310880814061
laris,2.371510730600904
fraktur,2.3712469935308165
rem,2.3701864961515606
register,2.3696394022717047
radius,2.361121924562919
peran,2.3572393317492755
struktur,2.3568693014846644
istri,2.3538953703238374
fasilitas,2.3499740033443404
malapetaka,2.349575877089154
sepatu,2.349390003592153
haru,2.349390003592153
barang,2.3376253275172343
jual,2.3363727305656967
konten,2.335581829142004
cemburu,2.3347290424078215
junjung,2.334715495363341
biodata,2.332027386263365
gede,2.3296832629344166
adm,2.3294680814227564
suhu,2.3291765277474488
rahayu,2.32717562003773
pangestu,2.32717562003773
apak,2.3260710827054543
rindu,2.3256389059145204
pangan,2.325406181726164
deposit,2.324563597182207
polis,2.3217937235788804
rekap,2.3217937235788804
edit,2.3206305436891075
efektivitas,2.3058017937588806
segenap,2.3002014209911383
derajat,2.295844892188191
cantum,2.292656828042244
medis,2.290269040500555
if,2.2888592492695303
rahang,2.288409552820645
neraka,2.281727272635269
not,2.275079512290132
kondisi,2.2739895258309244
cegah,2.273960237145107
rasional,2.2719563416773436
kue,2.2718993758606265
idola,2.2700775224781484
lokasi,2.2665306382379455
proyeksi,2.2645289004383704
juga,2.260622083225914
infrastruktur,2.2594765128245444
wabah,2.259118520894018
selinap,2.259118520894018
intim,2.2577326267950606
motorik,2.2534454480389594
kep,2.2532545812392626
difabel,2.2499039995944026
sore,2.2431588273316683
kas,2.2421667204428424
kabupaten,2.2403772005431857
upaya,2.2353714358389993
magang,2.229805015063065
ego,2.2275289086020953
pencet,2.2269910507724213
dor,2.2260943957399366
kacamata,2.224239464810554
privat,2.222681343710334
vendor,2.2186703070535088
bogot,2.217746265733743
bahak,2.216609639628742
kaca,2.2102234777691487
ibu,2.207320999371907
alternatif,2.206024526599432
sengaja,2.2036485988936887
citra,2.200125068931424
sambung,2.197352918516222
poles,2.191976640266745
kuasa,2.188166004354893
sepakat,2.1804588180596207
anggur,2.1802321560503555
kakang,2.1741535061717103
bek,2.1741535061717103
karel,2.1741535061717103
muhammad,2.1741535061717103
hijau,2.171396567215022
instansi,2.1628524650743026
ujung,2.159159694148984
resmi,2.15787315637266
advokasi,2.156070927151638
uji,2.1483458765147776
kejar,2.146542987196763
pusat,2.1459930969709227
bentrok,2.143974806720562
hutang,2.1345439850556844
edar,2.1339259645957234
piala,2.1267010300178826
naturalisasi,2.1267010300178826
guna,2.1251377205876905
kendala,2.124401277932024
lapar,2.124130403660727
dunia,2.1220188506825246
hiv,2.1200410840766466
laser,2.1200410840766466
bu,2.1196672463426602
bahagia,2.114302254374267
teori,2.112119342742018
pakta,2.109622295364434
paham,2.1038457723936643
transit,2.0980113459419107
disiplin,2.096980760731234
vitamin,2.090828109049686
selatan,2.090136330390395
buntu,2.085380089771205
menung,2.0789363987346485
kain,2.0769662891242047
revisi,2.069724693149503
demo,2.0677561114827934
persen,2.0638752432362364
nuwun,2.060638874833344
film,2.05946132954117
nongol,2.055755068880427
mubazir,2.055727048868336
japuk,2.054714597722969
tuli,2.046954172100099
aku,2.0447717999567616
klaim,2.044204818411565
blok,2.042645612826761
tambah,2.0393691889606544
iler,2.036805811936441
kentut,2.036111189806277
botol,2.0340000735268147
konfirmasi,2.033367788279817
ada,2.0316247234288842
genit,2.0304518517914483
sri,2.029515694474283
keluarga,2.0293452346247447
erti,2.0262358801691365
gebyar,2.023274327816351
mama,2.0232438383586793
tanggap,2.022294704036325
pending,2.019778713474044
martabat,2.0173336014857015
betul,2.0164552699816105
panel,2.0092632000655537
cerai,2.003624976521069
sadar,2.00186002410935
serpong,1.998657134483328
karang,1.994508602868731
vaksinasi,1.99416194453027
rusia,1.99416194453027
ken,1.9931843287101758
ukur,1.9856684057509706
sarkasme,1.9851207143193295
luncur,1.9845257988482383
diabetes,1.9842769343942965
nepotisme,1.9813753613340497
biji,1.9812554267755287
rugi,1.9786688653939453
akhirat,1.9759020996759706
